Date,Open,High,Low,Close,Adj Close,Volume
2015-01-05,34.98,36.450001,34.07,35.59,31.552675,83011900
2015-01-12,35.810001,36.400002,33.27,33.68,29.85935,97668900
2015-01-19,33.900002,34.18,33.310001,33.75,29.921402,54485100
2015-01-26,33.709999,34.040001,32.360001,32.619999,28.91959,77540000
2015-02-02,32.669998,36.599998,32.439999,36,31.916159,130952200
2015-02-09,35.790001,38.18,35.509998,37.619999,33.35239,100034600
2015-02-16,37.200001,37.720001,36.98,37.650002,33.37899,42755600
2015-02-23,37.619999,38.130001,37.110001,37.310001,33.077557,51890100
2015-03-02,37.310001,37.82,36.73,36.84,32.660873,54235500
2015-03-09,37.549999,38.470001,37.150002,38.049999,33.733612,81826400
2015-03-16,38.27,38.93,37.779999,38.869999,34.743515,70729500
2015-03-23,38.810001,38.990002,37.080002,37.310001,33.349129,60480400
2015-03-30,37.580002,38.040001,36.330002,36.5,32.625122,55693200
2015-04-06,36.259998,36.970001,35.639999,36.57,32.687687,129107500
2015-04-13,36.630001,37.18,36.389999,36.639999,32.750259,66854400
2015-04-20,36.950001,37.450001,35.439999,35.59,31.811724,110108300
2015-04-27,35.650002,35.959999,34.810001,35.419998,31.659773,73354100
2015-05-04,35.5,35.720001,34.549999,35.32,31.570393,62985100
2015-05-11,35.299999,35.59,34.509998,34.91,31.203913,54503400
2015-05-18,34.970001,35.740002,34.66,35.700001,31.910053,58709600
2015-05-25,35.450001,36.580002,35.43,35.970001,32.15139,56187400
2015-06-01,36.060001,36.5,34.959999,35.119999,31.391619,76935300
2015-06-08,34.860001,36.009998,34.799999,35.709999,31.91898,67644600
2015-06-15,35.349998,36.48,35.009998,36.110001,32.610806,61263400
2015-06-22,36.290001,36.540001,34.279999,34.380001,31.048447,64218800
2015-06-29,34.119999,34.169998,32.68,33.23,30.009886,56445400
2015-07-06,32.849998,33.119999,30.92,31.4,28.35722,88165800
2015-07-13,31.870001,31.99,30.309999,30.65,27.679897,97332900
2015-07-20,30.85,32.700001,29.889999,31.059999,28.050165,121919000
2015-07-27,30.950001,32.130001,30.6,31.51,28.45656,89675800
2015-08-03,31.790001,32.139999,31.139999,31.74,28.664272,76838000
2015-08-10,31.950001,32.25,29.790001,31.49,28.438498,91478800
2015-08-17,31.469999,32.049999,29.57,29.6,26.731646,76151500
2015-08-24,27.299999,29.200001,24.620001,29,26.189789,127090100
2015-08-31,29.09,29.709999,28.4,28.879999,26.081417,68470700
2015-09-07,29.5,30.469999,29.190001,30.15,27.228348,69063400
2015-09-14,30.110001,31.809999,30.059999,30.51,27.892467,106841000
2015-09-21,30.67,30.959999,28.77,29.41,26.886835,75849900
2015-09-28,29.290001,31.76,28.379999,31.73,29.007799,86225400
2015-10-05,31.9,33.630001,31.52,32.950001,30.123131,71939900
2015-10-12,33.040001,33.66,32.619999,33.150002,30.305973,54819800
2015-10-19,33,36.060001,32.799999,35.950001,32.865761,99706300
2015-10-26,35.900002,35.939999,34.110001,34.91,31.914974,61976200
2015-11-02,34.880001,35.990002,34.860001,35.75,32.682911,56637900
2015-11-09,35.98,36.119999,34.189999,34.310001,31.366451,49178100
2015-11-16,34.310001,36.48,34.290001,36.34,33.222294,61767600
2015-11-23,36.389999,36.869999,35.689999,36.369999,33.249718,30388300
2015-11-30,36.599998,36.880001,35.23,36.25,33.140018,58689300
